id T_eff delta_nu delta_nu_err nu_max nu_max_err  mag
8827646 4611 3.97 0.09 33.24 0.75 11.973
8827934 4718 5.38 0.10 56.76 2.48 10.799
8761471 4719 4.36 0.10 38.61 2.31 11.420
8826496 4743 4.63 0.11 43.88 0.81 11.774
9032691 4604 4.10 0.10 35.31 0.87 11.208
8964218 4337 3.60 0.07 31.33 0.74 11.578
9658002 4531 4.10 0.09 35.34 1.00 11.371
9780183 4585 3.78 0.08 30.49 0.77 10.984
9839918 4637 5.13 0.31 47.44 1.39 10.553
9839246 4704 4.58 0.11 44.27 0.99 11.121
9597214 4845 4.57 0.11 43.27 1.10 11.131
9536330 4484 2.71 0.06 23.06 0.58 10.251
9658793 4611 4.45 0.10 40.50 0.98 10.531
9658072 4392 3.53 0.07 28.00 0.70 11.612
9597524 4676 4.22 0.08 37.96 1.09 12.003
9535050 5090 4.52 0.09 45.30 1.08 10.213
9535399 4662 5.75 0.11 58.26 1.56 9.652
9412408 4791 4.21 0.09 34.58 0.85 10.980
9596639 4621 3.71 0.08 30.49 0.89 11.521
9718024 4867 4.07 0.10 33.76 0.81 10.720
9838978 4626 4.00 0.09 32.99 0.69 12.018
9778288 4745 5.14 0.09 58.34 1.15 11.953
9596106 4475 2.65 0.06 21.48 0.69 11.330
9472481 4940 5.40 0.14 62.31 1.89 9.989
9777536 4610 4.67 0.09 45.42 0.89 11.845
9716866 4491 3.73 0.09 32.05 0.83 11.767
9656523 4591 4.02 0.10 33.75 1.56 11.801
9470276 4737 7.00 0.14 75.26 1.81 11.485
9470055 4087 1.28 0.03 8.69 0.63 11.256
9532518 4732 3.96 0.09 31.13 1.92 10.135
9471284 4682 4.28 0.09 40.49 1.42 11.332
9655101 5031 7.91 0.16 109.57 7.82 10.983
9775927 5064 8.41 0.17 108.56 2.61 10.250
9716522 4799 4.85 0.10 54.10 1.31 10.409
9836930 4893 5.88 0.10 74.41 1.60 9.841
9835626 4750 5.40 0.11 53.91 1.50 10.725
9835436 4587 3.00 0.07 24.58 0.59 11.662
9652704 4872 14.47 0.26 187.77 3.67 11.524
9714063 4679 4.51 0.10 42.31 1.34 10.650
9713617 4730 12.37 0.24 153.96 3.02 11.462
9529974 4694 4.03 0.10 33.35 1.40 11.473
9530396 4697 6.76 0.12 83.08 2.49 11.872
9713083 4737 4.58 0.10 41.70 1.97 9.927
9772366 4706 6.75 0.14 75.00 3.54 9.693
9712888 4733 4.01 0.09 33.09 1.29 10.394
9712510 4526 3.72 0.08 33.40 1.11 11.887
9406638 4750 4.31 0.09 39.39 1.29 11.357
9406415 5089 5.16 0.10 59.28 2.02 9.925
9591097 4714 4.16 0.13 34.65 1.80 11.522
9711349 4358 2.14 0.05 15.33 0.49 11.732
9711231 4683 5.11 0.11 46.93 1.14 11.155
9711269 4637 6.35 0.13 64.05 1.46 9.794
9711492 4929 5.09 0.11 50.76 1.17 11.124
9650046 4825 6.00 0.11 67.83 1.35 11.609
9650527 4971 5.24 0.11 54.70 1.88 11.756
9589638 4714 4.37 0.11 39.35 0.97 11.738
9650881 4657 4.05 0.08 37.12 1.09 11.943
9589500 4970 7.78 0.43 104.51 2.18 11.863
9282363 4705 3.79 0.10 29.66 0.84 11.039
9405269 4752 4.22 0.08 37.84 0.80 10.391
9405555 4464 2.46 0.06 17.86 0.80 10.995
9898999 4484 3.95 0.09 35.77 0.91 11.988
9958522 4657 4.09 0.09 36.66 0.98 11.844
9958567 4807 3.28 0.11 25.29 0.91 10.545
9957219 4711 4.25 0.08 36.00 1.18 9.877
9896174 4988 18.14 1.28 246.26 7.58 11.755
