id nu_max nu_max_err delta_nu delta_nu_err mag T_eff
11242934 31.15 0.70 3.76 0.09 12.15 4735
11135168 44.24 1.00 4.68 0.11 11.83 4914
11188067 38.13 0.87 4.28 0.08 11.01 4785
11135286 37.54 1.19 4.14 0.09 11.41 4691
11081838 30.20 1.23 3.75 0.08 11.91 4706
11027005 52.69 3.24 6.37 0.78 10.59 4981
11027337 33.77 0.86 3.87 0.08 11.70 4561
11081517 37.62 1.02 4.04 0.13 12.20 4832
11293804 34.10 0.83 3.94 0.09 11.46 4574
11294409 31.87 0.79 3.92 0.09 12.21 4810
11133969 30.54 0.89 3.64 0.09 9.52 4696
10792949 45.16 2.56 4.59 0.10 10.06 4715
10857953 32.96 1.23 4.02 0.09 10.54 4715
10971893 35.72 0.79 4.18 0.10 12.10 4757
10972288 66.01 1.54 6.33 0.13 12.31 4660
11612171 36.47 1.17 3.97 0.11 11.72 4848
11612603 84.80 1.84 8.05 0.19 11.48 4762
11663387 34.12 1.24 4.07 0.09 12.24 4818
11509207 52.53 1.99 5.59 0.11 11.95 4803
11509608 33.94 0.79 4.08 0.09 11.73 4949
11509277 45.13 1.81 4.58 0.09 11.00 4932
11561379 89.66 1.78 8.52 0.16 12.12 4882
11560465 58.85 1.47 6.05 0.14 12.29 4671
11508970 34.47 1.51 3.93 0.11 11.35 5065
11612200 31.27 0.99 4.12 0.17 12.17 4908
11559818 39.67 1.88 3.69 0.07 10.84 4597
11403437 34.15 0.69 4.13 0.08 11.64 4832
11351140 32.80 1.08 4.07 0.11 10.86 4960
11455925 30.54 0.74 4.06 0.13 11.55 4900
11403918 72.56 1.75 6.94 0.14 12.18 4696
11661782 60.55 1.30 5.76 0.12 11.14 4974
11559478 36.26 1.13 4.04 0.08 11.22 5008
11455176 36.35 1.29 4.22 0.08 11.51 4923
11403129 42.73 1.46 4.15 0.08 12.16 4876
11401466 35.83 0.84 4.12 0.10 11.35 4942
11506212 37.93 0.92 4.25 0.09 12.46 4654
11453627 31.10 0.80 3.96 0.11 11.41 4864
11349014 30.42 1.41 3.86 0.16 11.64 4974
11295720 53.25 1.40 5.36 0.11 12.21 4730
9760904 30.57 1.05 3.81 0.19 10.52 4937
9700899 33.86 1.23 3.91 0.10 11.55 4817
9821622 63.72 1.49 5.91 0.19 12.02 4982
9821783 35.00 1.02 4.13 0.09 10.42 5024
9456153 33.52 0.71 4.14 0.10 11.24 5058
9579328 33.45 0.72 3.79 0.08 11.16 4543
9882550 36.74 0.90 4.30 0.09 11.79 4937
9762752 36.08 1.55 3.84 0.09 12.48 4589
9641246 36.80 0.81 4.20 0.09 11.72 4954
9579860 54.82 1.06 5.91 0.12 11.58 4773
9640886 34.79 0.78 3.95 0.08 11.02 4596
9518506 48.84 1.33 4.97 0.10 10.65 5018
9641772 35.04 0.85 4.09 0.08 10.99 4784
9641484 36.16 0.82 4.10 0.08 10.80 4884
9580991 61.99 1.58 5.66 0.12 11.65 5040
9763419 33.39 0.93 4.03 0.08 11.55 4831
9702841 39.76 1.49 4.23 0.09 11.66 4827
9581445 61.44 1.36 5.71 0.13 11.78 4806
9704258 52.95 1.17 5.80 0.17 12.11 4841
9764708 31.59 0.74 3.34 0.07 9.84 4763
9704676 40.38 0.94 4.39 0.12 12.22 4835
9705636 33.45 0.67 3.99 0.09 11.63 4672
9705687 74.32 1.69 6.48 0.13 9.58 5134
9704774 35.08 1.39 4.06 0.09 11.58 4865
9886274 42.07 0.95 4.70 0.12 12.11 4698
9645099 30.28 0.74 3.86 0.11 12.38 4954
9583720 55.11 2.17 5.66 0.15 11.57 4727
9887199 36.97 0.91 4.25 0.09 12.22 4926
9766517 47.03 1.24 4.87 0.11 12.25 4776
9887488 33.36 1.71 4.06 0.08 12.37 4805
9145952 33.64 0.78 4.05 0.08 11.59 4837
9079904 42.17 1.23 4.57 0.10 12.41 4560
9332840 40.39 1.17 4.41 0.08 11.54 4847
9333184 32.50 0.99 4.02 0.09 11.65 4919
9456598 40.92 0.83 4.43 0.11 11.86 4875
9396095 30.01 0.68 3.92 0.09 11.11 4844
9146245 55.24 1.41 5.22 0.10 11.86 4630
9080445 39.11 0.93 4.31 0.10 10.50 4936
9080175 47.91 1.05 5.31 0.11 10.16 4667
9080407 44.91 1.72 4.69 0.12 10.28 4834
9396363 42.71 1.24 4.63 0.14 10.91 4969
9012783 37.78 1.71 3.99 0.09 12.58 4568
9147335 49.63 1.27 5.00 0.13 11.27 4821
9335191 33.24 0.90 4.07 0.09 12.02 4886
9520156 31.33 1.21 4.30 0.14 11.71 4897
9397110 39.20 1.33 4.26 0.10 11.94 4951
9336090 32.80 0.83 4.05 0.09 11.49 4894
9335570 37.67 1.34 4.21 0.10 9.93 4868
9582005 30.20 1.44 3.56 0.08 11.44 4852
9521461 56.97 1.22 5.34 0.10 10.84 4963
10268744 33.31 1.70 3.75 0.10 9.95 4642
10136291 33.86 0.75 4.07 0.09 11.71 4664
10071249 32.48 1.10 4.02 0.09 11.08 4881
10070717 32.75 1.08 4.05 0.09 11.90 4906
9946074 65.09 1.98 6.56 0.13 12.33 4921
10006852 77.41 1.93 6.75 0.12 10.56 5101
10005966 30.37 0.95 3.83 0.08 10.73 4620
10068810 48.41 0.98 5.32 0.11 11.17 4740
10069045 46.92 1.10 4.98 0.10 12.15 4675
9945290 37.56 0.79 4.35 0.08 11.69 4796
9884319 34.42 1.21 4.06 0.15 12.12 4746
10331610 31.96 0.84 4.14 0.11 12.22 4870
10200093 33.41 1.16 4.05 0.08 12.30 4825
10003419 36.15 1.25 4.08 0.10 11.71 4819
10067407 34.94 0.97 3.94 0.11 12.48 4858
10198761 49.79 1.28 5.19 0.11 11.98 4830
